cp	max_depth	min_split	min_bucket	ganancia_promedio
-1	6	1000	300	52624000
-0.5	6	1000	300	52624000
-0.3	6	1000	300	52624000
-0.1	6	1000	300	52624000
-1	6	1000	200	52022000
-0.5	6	1000	200	52022000
-0.3	6	1000	200	52022000
-0.1	6	1000	200	52022000
-1	6	1000	50	52214000
-0.5	6	1000	50	52214000
-0.3	6	1000	50	52214000
-0.1	6	1000	50	52214000
-1	6	1000	25	51360000
-0.5	6	1000	25	51360000
-0.3	6	1000	25	51360000
-0.1	6	1000	25	51360000
-1	6	1000	10	51264000
-0.5	6	1000	10	51264000
-0.3	6	1000	10	51264000
-0.1	6	1000	10	51264000
-1	6	1000	5	51454000
-0.5	6	1000	5	51454000
-0.3	6	1000	5	51454000
-0.1	6	1000	5	51454000
-1	6	800	500	51196000
-0.5	6	800	500	51196000
-0.3	6	800	500	51196000
-0.1	6	800	500	51196000
-1	6	800	400	51250000
-0.5	6	800	400	51250000
-0.3	6	800	400	51250000
-0.1	6	800	400	51250000
-1	6	800	300	52104000
-0.5	6	800	300	52104000
-0.3	6	800	300	52104000
-0.1	6	800	300	52104000
-1	6	800	200	51588000
-0.5	6	800	200	51588000
-0.3	6	800	200	51588000
-0.1	6	800	200	51588000
-1	6	800	50	52208000
-0.5	6	800	50	52208000
-0.3	6	800	50	52208000
-0.1	6	800	50	52208000
-1	6	800	25	51332000
-0.5	6	800	25	51332000
-0.3	6	800	25	51332000
-0.1	6	800	25	51332000
-1	6	800	10	51264000
-0.5	6	800	10	51264000
-0.3	6	800	10	51264000
-0.1	6	800	10	51264000
-1	6	800	5	51454000
-0.5	6	800	5	51454000
-0.3	6	800	5	51454000
-0.1	6	800	5	51454000
-1	6	600	500	51196000
-0.5	6	600	500	51196000
-0.3	6	600	500	51196000
-0.1	6	600	500	51196000
-1	6	600	400	51250000
-0.5	6	600	400	51250000
-0.3	6	600	400	51250000
-0.1	6	600	400	51250000
-1	6	600	300	52214000
-0.5	6	600	300	52214000
-0.3	6	600	300	52214000
-0.1	6	600	300	52214000
-1	6	600	200	50746000
-0.5	6	600	200	50746000
-0.3	6	600	200	50746000
-0.1	6	600	200	50746000
-1	6	600	50	51650000
-0.5	6	600	50	51650000
-0.3	6	600	50	51650000
-0.1	6	600	50	51650000
-1	6	600	25	50774000
-0.5	6	600	25	50774000
-0.3	6	600	25	50774000
-0.1	6	600	25	50774000
-1	6	600	10	50936000
-0.5	6	600	10	50936000
-0.3	6	600	10	50936000
-0.1	6	600	10	50936000
-1	6	600	5	51274000
-0.5	6	600	5	51274000
-0.3	6	600	5	51274000
-0.1	6	600	5	51274000
-1	6	400	500	51196000
-0.5	6	400	500	51196000
-0.3	6	400	500	51196000
-0.1	6	400	500	51196000
-1	6	400	400	51250000
-0.5	6	400	400	51250000
-0.3	6	400	400	51250000
-0.1	6	400	400	51250000
-1	6	400	300	52214000
-0.5	6	400	300	52214000
-0.3	6	400	300	52214000
-0.1	6	400	300	52214000
-1	6	400	200	50500000
-0.5	6	400	200	50500000
-0.3	6	400	200	50500000
-0.1	6	400	200	50500000
-1	6	400	50	51646000
